id,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
96,Wifi,4G,1月3日,No,Computer,Moderate
97,Mobile Data,4G,1月3日,No,Mobile,Moderate
98,Mobile Data,2G,1月3日,No,Mobile,Low
99,Wifi,4G,1月3日,Yes,Mobile,Moderate
100,Wifi,4G,1月3日,No,Mobile,Low
101,Wifi,4G,0,No,Mobile,Low
102,Wifi,4G,1月3日,No,Computer,Moderate
103,Mobile Data,3G,0,No,Mobile,Low
104,Mobile Data,4G,1月3日,No,Mobile,Moderate
105,Wifi,4G,1月3日,No,Mobile,Moderate
106,Wifi,4G,1月3日,No,Computer,Moderate
107,Mobile Data,3G,1月3日,No,Mobile,Moderate
108,Wifi,4G,1月3日,No,Computer,Moderate
109,Wifi,4G,3月6日,No,Tab,Moderate
110,Wifi,3G,1月3日,Yes,Mobile,High
111,Mobile Data,4G,0,No,Mobile,Low
112,Wifi,4G,1月3日,No,Mobile,Low
113,Mobile Data,3G,0,No,Mobile,Low
114,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
115,Wifi,4G,3月6日,No,Mobile,Moderate
116,Wifi,4G,3月6日,Yes,Computer,Moderate
117,Wifi,4G,0,No,Computer,Low
118,Wifi,4G,3月6日,Yes,Computer,Low
119,Mobile Data,3G,1月3日,No,Mobile,Moderate
120,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
121,Wifi,4G,3月6日,No,Computer,Moderate
122,Wifi,4G,1月3日,No,Mobile,Low
123,Mobile Data,4G,1月3日,No,Mobile,Moderate
124,Mobile Data,3G,1月3日,No,Mobile,Moderate
125,Wifi,4G,1月3日,Yes,Computer,Moderate
126,Mobile Data,GG,1月3日,No,Mobile,Low
127,Mobile Data,4G,1月3日,No,Mobile,Low
128,Wifi,4G,3月6日,No,Mobile,Moderate
129,Wifi,4G,1月3日,No,Mobile,Low
130,Wifi,4G,1月3日,Yes,Computer,High
131,Wifi,3G,3月6日,Yes,Mobile,Moderate
132,Mobile Data,3G,1月3日,No,Mobile,Low
133,Mobile Data,3G,3月6日,Yes,Mobile,High
134,Mobile Data,4G,1月3日,No,Mobile,Low
135,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
136,Wifi,4G,3月6日,No,Computer,Low
137,Mobile Data,3G,0,No,Mobile,Low
138,Mobile Data,4G,1月3日,No,Mobile,Moderate
139,Mobile Data,4G,1月3日,No,Mobile,Moderate
140,Mobile Data,4G,1月3日,No,Mobile,Moderate
141,Mobile Data,3G,1月3日,No,Mobile,Low
142,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
143,Mobile Data,3G,1月3日,No,Mobile,Moderate
144,Mobile Data,3G,1月3日,No,Mobile,Moderate
145,Mobile Data,3G,1月3日,No,Mobile,Low
146,Wifi,4G,3月6日,No,Computer,Moderate
147,Wifi,3G,3月6日,No,Computer,Moderate
148,Wifi,4G,0,No,Mobile,Low
149,Wifi,4G,3月6日,No,Mobile,Low
150,Mobile Data,2G,1月3日,No,Mobile,Low
151,Mobile Data,4G,1月3日,No,Mobile,Moderate
152,Wifi,4G,1月3日,No,Mobile,Low
153,Mobile Data,4G,1月3日,No,Mobile,High
154,Wifi,4G,1月3日,No,Mobile,Moderate
155,Wifi,4G,3月6日,No,Computer,Low
156,Mobile Data,3G,1月3日,No,Computer,Low
157,Mobile Data,4G,1月3日,No,Mobile,Low
158,Wifi,4G,1月3日,No,Computer,High
159,Mobile Data,4G,1月3日,No,Mobile,Moderate
160,Mobile Data,3G,1月3日,Yes,Computer,Moderate
161,Wifi,GG,1月3日,Yes,Mobile,Low
162,Mobile Data,3G,3月6日,Yes,Mobile,High
163,Mobile Data,4G,1月3日,No,Mobile,Moderate
164,Mobile Data,3G,0,No,Mobile,Low
165,Mobile Data,4G,0,No,Mobile,Low
166,Mobile Data,4G,1月3日,No,Mobile,Moderate
167,Mobile Data,3G,1月3日,Yes,Mobile,Low
168,Mobile Data,4G,1月3日,No,Mobile,High
169,Mobile Data,4G,1月3日,No,Mobile,Moderate
170,Mobile Data,4G,1月3日,Yes,Mobile,Low
171,Wifi,3G,1月3日,Yes,Computer,Moderate
172,Wifi,4G,1月3日,No,Mobile,Low
173,Wifi,4G,1月3日,No,Mobile,Low
174,Wifi,4G,1月3日,Yes,Computer,High
175,Mobile Data,4G,1月3日,No,Mobile,Moderate
176,Wifi,4G,3月6日,No,Computer,Low
177,Wifi,3G,1月3日,No,Mobile,Moderate
178,Mobile Data,4G,1月3日,Yes,Mobile,Low
179,Mobile Data,3G,1月3日,No,Mobile,Low
180,Mobile Data,3G,0,No,Mobile,Low
181,Wifi,4G,1月3日,No,Computer,Moderate
182,Wifi,4G,1月3日,No,Mobile,Low
183,Wifi,4G,1月3日,No,Mobile,Moderate
184,Wifi,4G,3月6日,No,Computer,Moderate
185,Wifi,4G,1月3日,No,Mobile,Low
186,Mobile Data,3G,1月3日,No,Mobile,Low
187,Mobile Data,3G,1月3日,No,Mobile,Moderate
188,Mobile Data,4G,1月3日,No,Mobile,Low
189,Mobile Data,4G,1月3日,No,Mobile,Moderate
190,Wifi,4G,3月6日,No,Tab,Moderate
191,Wifi,4G,1月3日,No,Mobile,Low
192,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
193,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
194,Mobile Data,3G,0,No,Mobile,Low
195,Mobile Data,4G,0,No,Mobile,Low
196,Wifi,3G,1月3日,Yes,Mobile,Low
197,Mobile Data,4G,1月3日,No,Mobile,Low
198,Mobile Data,4G,1月3日,No,Mobile,Moderate
199,Mobile Data,3G,1月3日,No,Mobile,Moderate
200,Wifi,3G,1月3日,No,Mobile,Low
201,Mobile Data,4G,0,No,Mobile,Low
202,Mobile Data,GG,1月3日,No,Mobile,Low
203,Mobile Data,3G,1月3日,No,Mobile,Low
204,Wifi,4G,1月3日,Yes,Mobile,Moderate
205,Mobile Data,3G,1月3日,No,Mobile,Low
206,Wifi,4G,1月3日,No,Mobile,High
207,Wifi,4G,3月6日,No,Computer,Moderate
208,Mobile Data,3G,1月3日,No,Mobile,Low
209,Wifi,4G,1月3日,No,Mobile,Low
210,Wifi,3G,3月6日,Yes,Mobile,Low
211,Mobile Data,2G,1月3日,No,Mobile,Low
212,Mobile Data,4G,1月3日,No,Mobile,High
213,Mobile Data,3G,1月3日,No,Mobile,Low
214,Wifi,4G,3月6日,No,Computer,Moderate
215,Mobile Data,4G,1月3日,No,Mobile,Moderate
216,Mobile Data,4G,1月3日,No,Mobile,Moderate
217,Mobile Data,4G,1月3日,No,Mobile,Moderate
218,Mobile Data,3G,0,No,Mobile,Low
219,Wifi,3G,3月6日,No,Mobile,Low
220,Mobile Data,3G,0,No,Mobile,Low
221,Wifi,3G,3月6日,Yes,Computer,Moderate
222,Mobile Data,4G,3月6日,No,Mobile,Moderate
223,Mobile Data,3G,1月3日,No,Mobile,Moderate
224,Mobile Data,3G,1月3日,No,Mobile,Moderate
225,Wifi,4G,0,No,Mobile,Low
226,Mobile Data,3G,1月3日,No,Mobile,Moderate
227,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
228,Mobile Data,4G,1月3日,No,Mobile,Low
229,Mobile Data,3G,1月3日,No,Mobile,Moderate
230,Mobile Data,3G,1月3日,No,Mobile,Moderate
231,Wifi,3G,1月3日,No,Mobile,Moderate
232,Wifi,4G,1月3日,Yes,Mobile,Moderate
233,Wifi,4G,0,No,Mobile,Low
234,Wifi,4G,1月3日,No,Mobile,High
235,Wifi,4G,3月6日,Yes,Computer,Moderate
236,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
237,Wifi,4G,3月6日,No,Computer,Moderate
238,Mobile Data,4G,0,No,Mobile,Low
239,Wifi,2G,3月6日,No,Mobile,Moderate
240,Wifi,4G,1月3日,No,Mobile,Low
241,Mobile Data,4G,1月3日,No,Mobile,Low
242,Mobile Data,4G,1月3日,No,Mobile,Moderate
243,Wifi,4G,1月3日,No,Mobile,Moderate
244,Wifi,4G,3月6日,No,Mobile,Moderate
245,Mobile Data,3G,0,No,Mobile,Low
246,Wifi,4G,1月3日,No,Mobile,Moderate
247,Wifi,3G,3月6日,Yes,Computer,Moderate
248,Mobile Data,3G,1月3日,No,Mobile,Low
249,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
250,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
251,Wifi,4G,3月6日,No,Computer,Moderate
252,Wifi,4G,1月3日,No,Mobile,Low
253,Wifi,4G,1月3日,No,Mobile,Low
254,Mobile Data,3G,1月3日,No,Mobile,Low
255,Wifi,3G,1月3日,No,Mobile,Moderate
256,Mobile Data,3G,1月3日,No,Mobile,Moderate
257,Wifi,4G,1月3日,No,Mobile,Moderate
258,Mobile Data,4G,1月3日,No,Mobile,Moderate
259,Mobile Data,3G,1月3日,No,Mobile,Low
260,Wifi,4G,1月3日,No,Mobile,High
261,Mobile Data,3G,1月3日,No,Mobile,Low
262,Mobile Data,3G,3月6日,Yes,Mobile,Low
263,Wifi,4G,3月6日,No,Mobile,Moderate
264,Mobile Data,4G,1月3日,No,Mobile,Low
265,Wifi,4G,1月3日,No,Mobile,Low
266,Wifi,4G,1月3日,No,Mobile,Moderate
267,Wifi,4G,1月3日,No,Mobile,Moderate
268,Wifi,4G,1月3日,Yes,Mobile,Low
269,Wifi,4G,1月3日,No,Mobile,Moderate
270,Mobile Data,4G,1月3日,Yes,Mobile,High
271,Mobile Data,4G,1月3日,No,Mobile,Moderate
272,Wifi,4G,3月6日,No,Mobile,Moderate
273,Mobile Data,4G,1月3日,No,Mobile,Moderate
274,Mobile Data,3G,1月3日,No,Mobile,Moderate
275,Mobile Data,2G,1月3日,No,Mobile,Low
276,Mobile Data,4G,1月3日,No,Mobile,Moderate
277,Mobile Data,3G,1月3日,No,Mobile,Low
278,Mobile Data,2G,1月3日,No,Mobile,Low
279,Mobile Data,4G,1月3日,Yes,Mobile,Low
280,Mobile Data,3G,1月3日,No,Mobile,Low
281,Mobile Data,4G,0,No,Mobile,Low
282,Mobile Data,4G,0,No,Mobile,Low
283,Wifi,4G,1月3日,No,Mobile,Low
284,Wifi,4G,1月3日,Yes,Computer,High
285,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
286,Mobile Data,4G,0,No,Mobile,Low
287,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
288,Wifi,4G,0,No,Mobile,Low
289,Wifi,4G,0,No,Mobile,Low
290,Mobile Data,4G,1月3日,No,Mobile,Moderate
291,Mobile Data,4G,1月3日,No,Mobile,Moderate
292,Wifi,4G,1月3日,No,Mobile,Moderate
293,Mobile Data,4G,1月3日,No,Mobile,Moderate
294,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
295,Mobile Data,4G,1月3日,Yes,Mobile,Low
296,Mobile Data,4G,1月3日,No,Mobile,Moderate
297,Wifi,4G,3月6日,No,Tab,High
298,Mobile Data,4G,1月3日,No,Mobile,Moderate
299,Mobile Data,4G,1月3日,No,Mobile,Moderate
300,Wifi,4G,1月3日,No,Mobile,Moderate
301,Wifi,4G,3月6日,No,Computer,High
302,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
303,Wifi,4G,1月3日,No,Mobile,Low
304,Mobile Data,4G,1月3日,No,Mobile,Moderate
305,Mobile Data,4G,3月6日,No,Mobile,Moderate
306,Wifi,4G,1月3日,No,Computer,Low
307,Wifi,4G,1月3日,Yes,Tab,Moderate
308,Mobile Data,3G,1月3日,No,Mobile,Moderate
309,Wifi,4G,3月6日,No,Tab,Moderate
310,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
311,Mobile Data,4G,1月3日,No,Mobile,Moderate
312,Wifi,4G,1月3日,No,Mobile,Low
313,Mobile Data,3G,1月3日,No,Mobile,Moderate
314,Wifi,4G,1月3日,No,Mobile,Moderate
315,Wifi,4G,1月3日,No,Mobile,Moderate
316,Mobile Data,3G,1月3日,No,Mobile,Low
317,Wifi,4G,3月6日,No,Tab,Moderate
318,Wifi,4G,0,No,Mobile,Low
319,Wifi,4G,1月3日,No,Mobile,Low
320,Mobile Data,3G,1月3日,No,Mobile,Low
321,Mobile Data,3G,1月3日,No,Mobile,Moderate
322,Mobile Data,4G,0,No,Mobile,Low
323,Mobile Data,4G,1月3日,No,Mobile,Moderate
324,Mobile Data,3G,1月3日,No,Mobile,Low
325,Mobile Data,3G,3月6日,Yes,Mobile,Low
326,Mobile Data,3G,1月3日,No,Mobile,Moderate
327,Mobile Data,4G,1月3日,No,Mobile,Moderate
328,Wifi,4G,1月3日,No,Mobile,Moderate
329,Mobile Data,4G,1月3日,No,Mobile,Moderate
330,Mobile Data,3G,0,No,Mobile,Low
331,Mobile Data,3G,1月3日,No,Mobile,Moderate
332,Wifi,3G,1月3日,No,Mobile,Low
333,Wifi,4G,3月6日,No,Mobile,Low
334,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
335,Wifi,4G,3月6日,No,Mobile,Moderate
336,Wifi,4G,1月3日,Yes,Mobile,Moderate
337,Mobile Data,4G,1月3日,No,Mobile,Low
338,Wifi,4G,1月3日,No,Mobile,Low
339,Mobile Data,4G,1月3日,No,Mobile,Moderate
340,Mobile Data,4G,0,No,Mobile,Low
341,Mobile Data,4G,1月3日,No,Mobile,Moderate
342,Mobile Data,4G,1月3日,No,Mobile,Moderate
343,Mobile Data,4G,1月3日,No,Mobile,Moderate
344,Wifi,4G,1月3日,No,Mobile,Moderate
345,Wifi,3G,3月6日,Yes,Computer,Low
346,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
347,Mobile Data,4G,0,No,Mobile,Low
348,Wifi,4G,1月3日,No,Mobile,Moderate
349,Mobile Data,3G,1月3日,No,Mobile,Low
350,Mobile Data,4G,3月6日,No,Mobile,Moderate
351,Mobile Data,4G,1月3日,No,Mobile,Moderate
352,Mobile Data,4G,0,No,Mobile,Low
353,Wifi,4G,3月6日,No,Mobile,Moderate
354,Wifi,4G,3月6日,Yes,Computer,Moderate
355,Mobile Data,4G,1月3日,No,Mobile,Moderate
356,Wifi,4G,0,No,Mobile,Low
357,Mobile Data,4G,1月3日,No,Mobile,Moderate
358,Mobile Data,3G,1月3日,No,Mobile,Moderate
359,Mobile Data,3G,1月3日,No,Mobile,Moderate
360,Mobile Data,4G,1月3日,No,Mobile,Moderate
361,Mobile Data,3G,1月3日,No,Mobile,Moderate
362,Mobile Data,3G,1月3日,No,Mobile,High
363,Wifi,4G,3月6日,No,Computer,Low
364,Mobile Data,4G,1月3日,No,Mobile,Moderate
365,Mobile Data,3G,1月3日,Yes,Mobile,Low
366,Wifi,4G,3月6日,No,Computer,High
367,Mobile Data,3G,1月3日,No,Mobile,Low
368,Mobile Data,3G,1月3日,No,Mobile,Moderate
369,Wifi,3G,1月3日,No,Mobile,Moderate
370,Wifi,4G,1月3日,No,Mobile,Low
371,Wifi,4G,1月3日,No,Mobile,Moderate
372,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
373,Wifi,4G,1月3日,Yes,Mobile,Low
374,Wifi,3G,1月3日,Yes,Mobile,Moderate
375,Mobile Data,4G,1月3日,No,Mobile,Moderate
376,Mobile Data,3G,0,No,Mobile,Low
377,Mobile Data,3G,0,No,Mobile,Low
378,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
379,Mobile Data,4G,1月3日,No,Mobile,Moderate
380,Wifi,4G,1月3日,No,Mobile,Low
381,Wifi,4G,0,No,Mobile,Low
382,Mobile Data,4G,0,No,Mobile,Moderate
383,Mobile Data,3G,1月3日,No,Mobile,Low
384,Wifi,4G,3月6日,Yes,Computer,Moderate
385,Wifi,3G,1月3日,Yes,Mobile,Moderate
386,Mobile Data,3G,1月3日,No,Mobile,Moderate
387,Mobile Data,3G,1月3日,No,Mobile,Moderate
388,Wifi,4G,1月3日,No,Mobile,Moderate
389,Mobile Data,3G,1月3日,Yes,Computer,Moderate
390,Mobile Data,3G,0,No,Mobile,Low
391,Wifi,4G,3月6日,No,Mobile,High
392,Mobile Data,4G,1月3日,No,Mobile,Moderate
393,Wifi,4G,1月3日,No,Mobile,Low
394,Mobile Data,4G,1月3日,No,Mobile,Low
395,Wifi,4G,1月3日,No,Computer,Low
396,Mobile Data,3G,1月3日,No,Mobile,Low
397,Wifi,4G,0,No,Mobile,Low
398,Wifi,4G,3月6日,No,Mobile,Low
399,Wifi,4G,1月3日,Yes,Computer,High
400,Wifi,4G,0,No,Mobile,Low
401,Wifi,4G,1月3日,No,Mobile,Moderate
402,Wifi,3G,1月3日,Yes,Mobile,Moderate
403,Wifi,4G,0,No,Computer,Low
404,Wifi,4G,1月3日,No,Mobile,Moderate
405,Mobile Data,4G,1月3日,No,Mobile,Low
406,Mobile Data,4G,1月3日,No,Mobile,Low
407,Wifi,4G,1月3日,Yes,Computer,High
408,Mobile Data,4G,1月3日,No,Mobile,Moderate
409,Mobile Data,4G,1月3日,No,Mobile,Moderate
410,Wifi,4G,1月3日,No,Mobile,High
411,Wifi,4G,1月3日,Yes,Computer,High
412,Wifi,4G,1月3日,Yes,Computer,High
413,Wifi,4G,3月6日,No,Tab,Moderate
414,Wifi,4G,1月3日,No,Mobile,Low
415,Mobile Data,4G,1月3日,No,Mobile,Moderate
416,Wifi,4G,0,No,Computer,Low
417,Mobile Data,3G,1月3日,No,Mobile,Low
418,Wifi,3G,1月3日,Yes,Mobile,Moderate
419,Wifi,3G,1月3日,Yes,Computer,Moderate
420,Wifi,4G,1月3日,Yes,Mobile,Low
421,Mobile Data,3G,1月3日,No,Mobile,Moderate
422,Mobile Data,3G,1月3日,No,Mobile,Moderate
423,Wifi,4G,1月3日,No,Computer,Moderate
424,Mobile Data,3G,1月3日,No,Mobile,Low
425,Wifi,4G,1月3日,No,Mobile,Low
426,Mobile Data,4G,0,No,Mobile,Low
427,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
428,Wifi,4G,1月3日,Yes,Computer,High
429,Wifi,4G,1月3日,No,Computer,Low
430,Mobile Data,3G,1月3日,No,Mobile,Low
431,Mobile Data,4G,3月6日,No,Mobile,Moderate
432,Mobile Data,4G,0,No,Computer,Low
433,Mobile Data,4G,1月3日,No,Mobile,High
434,Mobile Data,4G,1月3日,No,Mobile,Low
435,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
436,Wifi,4G,1月3日,No,Mobile,Low
437,Mobile Data,4G,0,No,Mobile,Low
438,Wifi,4G,3月6日,No,Tab,Moderate
439,Wifi,4G,1月3日,No,Mobile,Low
440,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
441,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
442,Wifi,4G,1月3日,No,Mobile,Moderate
443,Wifi,4G,1月3日,No,Mobile,Low
444,Mobile Data,4G,1月3日,No,Mobile,Moderate
445,Mobile Data,3G,1月3日,No,Mobile,Low
446,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
447,Mobile Data,4G,1月3日,No,Mobile,Low
448,Wifi,3G,1月3日,Yes,Mobile,High
449,Wifi,4G,3月6日,No,Mobile,Low
450,Mobile Data,3G,1月3日,No,Mobile,Moderate
451,Mobile Data,4G,3月6日,No,Mobile,Moderate
452,Wifi,4G,3月6日,No,Computer,High
453,Mobile Data,4G,0,No,Mobile,Low
454,Mobile Data,3G,0,No,Mobile,Low
455,Mobile Data,4G,3月6日,No,Mobile,Moderate
456,Mobile Data,4G,0,No,Mobile,Low
457,Mobile Data,4G,1月3日,No,Mobile,Moderate
458,Wifi,4G,1月3日,No,Mobile,Low
459,Mobile Data,3G,1月3日,No,Mobile,Low
460,Wifi,3G,3月6日,No,Computer,Moderate
461,Mobile Data,4G,1月3日,No,Mobile,Moderate
462,Mobile Data,4G,1月3日,Yes,Mobile,High
463,Mobile Data,3G,3月6日,Yes,Mobile,High
464,Mobile Data,4G,1月3日,Yes,Mobile,High
465,Wifi,3G,1月3日,No,Mobile,High
466,Mobile Data,3G,1月3日,Yes,Computer,Moderate
467,Mobile Data,3G,1月3日,Yes,Mobile,Low
468,Mobile Data,3G,0,No,Mobile,Low
469,Wifi,4G,1月3日,No,Mobile,Moderate
470,Wifi,3G,1月3日,Yes,Mobile,Low
471,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
472,Mobile Data,3G,1月3日,Yes,Mobile,Low
473,Mobile Data,3G,0,No,Mobile,Low
474,Wifi,4G,0,No,Mobile,Moderate
475,Mobile Data,3G,1月3日,No,Mobile,Moderate
476,Wifi,4G,1月3日,No,Mobile,Low
477,Mobile Data,4G,1月3日,Yes,Mobile,High
478,Mobile Data,4G,1月3日,No,Mobile,Moderate
479,Mobile Data,3G,1月3日,No,Mobile,Low
480,Wifi,4G,1月3日,Yes,Mobile,Moderate
481,Wifi,3G,1月3日,No,Mobile,Moderate
482,Mobile Data,4G,1月3日,No,Mobile,Low
483,Mobile Data,3G,1月3日,No,Mobile,Low
484,Mobile Data,4G,1月3日,No,Mobile,Low
485,Mobile Data,4G,1月3日,No,Mobile,Moderate
486,Wifi,4G,1月3日,No,Mobile,Moderate
487,Wifi,4G,3月6日,No,Computer,Moderate
488,Mobile Data,3G,1月3日,Yes,Computer,Moderate
489,Wifi,4G,1月3日,No,Mobile,Low
490,Wifi,3G,1月3日,No,Mobile,Moderate
491,Wifi,4G,1月3日,Yes,Computer,High
492,Mobile Data,3G,1月3日,No,Mobile,Moderate
493,Mobile Data,3G,1月3日,No,Mobile,Low
494,Wifi,4G,3月6日,No,Computer,High
495,Mobile Data,4G,0,No,Mobile,Low
496,Wifi,4G,1月3日,No,Mobile,Low
497,Mobile Data,3G,0,No,Mobile,Low
498,Wifi,3G,1月3日,Yes,Mobile,Moderate
499,Wifi,4G,1月3日,No,Computer,Moderate
500,Wifi,4G,3月6日,Yes,Computer,Moderate
501,Wifi,4G,1月3日,No,Mobile,Low
502,Wifi,4G,1月3日,No,Mobile,Low
503,Wifi,4G,1月3日,No,Mobile,Low
504,Wifi,3G,3月6日,Yes,Computer,Low
505,Mobile Data,4G,0,No,Mobile,Low
506,Mobile Data,2G,1月3日,No,Mobile,Low
507,Wifi,4G,1月3日,No,Mobile,High
508,Mobile Data,4G,0,No,Mobile,Moderate
509,Wifi,4G,1月3日,No,Mobile,Low
510,Mobile Data,4G,1月3日,No,Mobile,Moderate
511,Wifi,4G,1月3日,No,Mobile,Low
512,Wifi,4G,3月6日,No,Tab,Moderate
513,Wifi,4G,1月3日,No,Mobile,Low
514,Mobile Data,4G,1月3日,No,Mobile,Moderate
515,Mobile Data,2G,1月3日,No,Mobile,Low
516,Mobile Data,3G,1月3日,No,Mobile,Moderate
517,Mobile Data,4G,0,No,Mobile,Low
