STUDENTID,PARTNER,MOTHER_EDU,FATHER_EDU,#_SIBLINGS,KIDS,MOTHER_JOB,FATHER_JOB
STUDENT86,2,1,1,5,1,2,1
STUDENT87,2,3,3,2,1,4,1
STUDENT88,2,3,4,2,1,1,1
STUDENT89,1,4,4,1,1,3,2
STUDENT90,2,3,5,3,1,2,
STUDENT91,1,3,3,1,1,4,2
STUDENT92,1,4,1,5,1,2,3
STUDENT93,2,3,4,4,1,3,
STUDENT94,1,1,2,4,1,2,3
STUDENT95,1,3,2,5,1,2,5
STUDENT96,1,3,4,1,,2,1
STUDENT97,1,2,2,3,1,4,2
STUDENT98,,,,4,1,2,3
STUDENT99,2,2,4,2,1,2,5
STUDENT100,2,3,4,2,1,2,1
STUDENT101,2,4,1,2,1,3,3
STUDENT102,1,2,3,1,1,2,4
STUDENT103,1,3,,1,2,4,4
STUDENT104,1,1,3,4,1,2,1
STUDENT105,2,4,4,1,1,3,2
STUDENT106,2,2,2,4,1,2,4
STUDENT107,2,2,2,1,,2,1
STUDENT108,2,1,3,5,1,2,
STUDENT109,2,1,2,1,,1,5
STUDENT110,1,4,4,2,3,2,5
STUDENT111,2,4,4,2,2,1,5
STUDENT112,2,3,3,1,1,3,2
STUDENT113,2,1,1,2,1,2,1
STUDENT114,2,4,4,1,1,3,2
STUDENT115,2,1,1,1,1,2,1
STUDENT116,1,1,1,2,1,2,2
STUDENT117,2,1,,5,1,2,4
STUDENT118,2,4,4,1,1,1,3
STUDENT119,1,1,,3,1,4,4
STUDENT120,2,3,3,2,3,2,5
STUDENT121,1,3,3,2,1,3,4
STUDENT122,1,1,1,5,3,2,4
STUDENT123,2,3,3,2,1,2,1
STUDENT124,2,3,2,4,1,1,1
STUDENT125,1,2,3,2,1,4,3
STUDENT126,2,1,1,,1,2,3
STUDENT127,1,4,6,2,1,4,3
STUDENT128,2,3,2,2,1,3,4
STUDENT129,1,3,4,2,1,4,2
STUDENT130,2,1,1,,1,2,4
STUDENT131,2,1,2,3,1,2,4
STUDENT132,2,4,3,1,1,3,2
STUDENT133,2,1,2,3,1,2,1
STUDENT134,1,1,1,1,1,2,3
STUDENT135,2,1,1,2,1,4,3
STUDENT136,2,3,3,1,1,2,1
STUDENT137,1,3,3,3,1,3,4
STUDENT138,2,2,2,2,1,2,1
STUDENT139,1,3,,1,2,4,5
STUDENT140,1,3,3,1,1,5,4
STUDENT141,2,1,2,2,,2,4
STUDENT142,2,1,1,5,1,2,1
STUDENT143,2,3,4,4,1,2,4
STUDENT144,,4,4,1,1,3,3
STUDENT145,2,3,1,5,1,,4
